country,city,lat,lng,population
Japan,Tokyo,35.6870,139.7495,37785000
Indonesia,Jakarta,-6.1750,106.8275,33756000
India,Delhi,28.6100,77.2300,32226000
China,Guangzhou,23.1300,113.2600,26940000
India,Mumbai,19.0761,72.8775,24973000
Philippines,Manila,14.5958,120.9772,24922000
China,Shanghai,31.2286,121.4747,24073000
Brazil,São Paulo,-23.5504,-46.6339,23086000
"Korea, South",Seoul,37.5667,126.9833,23016000
Mexico,Mexico City,19.4333,-99.1333,21804000
India,Kolkāta,22.5675,88.3700,21747000
Egypt,Cairo,30.0444,31.2358,20296000
Pakistan,Karachi,24.8600,67.0100,20249000
Bangladesh,Dhaka,23.7289,90.3944,19134000
United States,New York,40.6943,-73.9249,18832416
China,Beijing,39.9067,116.3975,18522000
Thailand,Bangkok,13.7525,100.4942,18007000
China,Shenzhen,22.5415,114.0596,17619000
Russia,Moscow,55.7506,37.6175,17332000
Argentina,Buenos Aires,-34.6036,-58.3814,16710000
Nigeria,Lagos,6.4550,3.3841,16637000
India,Bangalore,12.9789,77.5917,15386000
Vietnam,Ho Chi Minh City,10.7756,106.7019,15136000
Japan,Ōsaka,34.6939,135.5022,15126000
China,Chengdu,30.6600,104.0633,14645000
Turkey,Istanbul,41.0136,28.9550,14441000
Iran,Tehran,35.6889,51.3897,14148000
Congo (Kinshasa),Kinshasa,-4.3219,15.3119,12836000
Brazil,Rio de Janeiro,-22.9111,-43.2056,12592000
India,Chennai,13.0825,80.2750,12395000
China,Xi’an,34.2611,108.9422,12328000
Pakistan,Lahore,31.5497,74.3436,12306000
China,Chongqing,29.5637,106.5504,12135000
United States,Los Angeles,34.1141,-118.4068,11885717
United Kingdom,London,51.5072,-0.1275,11262000
France,Paris,48.8567,2.3522,11060000
China,Linyi,35.1038,118.3564,10820000
China,Dongguan,23.0210,113.7520,10646000
China,Baoding,38.8740,115.4640,10546831
India,Hyderābād,17.3617,78.4747,10494000
China,Tianjin,39.1336,117.2054,10368000
Peru,Lima,-12.0600,-77.0375,10320000
China,Wuhan,30.5934,114.3046,10251000
China,Nanyang,32.9902,112.5285,9577771
China,Hangzhou,30.2670,120.1530,9523000
Japan,Nagoya,35.1833,136.9000,9197000
Angola,Luanda,-8.8383,13.2344,9051000
China,Foshan,23.0214,113.1216,9042500
Malaysia,Kuala Lumpur,3.1686,101.6980,8911000
China,Zhoukou,33.6367,114.7014,8677800
China,Tongshan,34.2610,117.1859,8669000
Vietnam,Hanoi,21.0000,105.8500,8587100
United States,Chicago,41.8375,-87.6866,8489066
China,Nanjing,32.0608,118.7789,8422000
China,Heze,35.2343,115.4796,8287693
India,Pune,18.5203,73.8567,8231000
China,Jining,35.4151,116.5871,8081905
Colombia,Bogotá,4.7111,-74.0722,8034649
India,Ahmedabad,23.0225,72.5714,8009000
China,Shenyang,41.8025,123.4281,7964000
Tanzania,Dar es Salaam,-6.8161,39.2803,7962000
Sudan,Khartoum,15.6031,32.5265,7869000
South Africa,Johannesburg,-26.2044,28.0456,7860781
China,Fuyang,32.8900,115.8140,7599913
Hong Kong,Hong Kong,22.3000,114.2000,7450000
China,Ganzhou,25.8310,114.9330,7396873
China,Shangqiu,34.4150,115.6560,7325300
China,Cangzhou,38.3047,116.8387,7300783
Saudi Arabia,Riyadh,24.6500,46.7100,7237000
Chile,Santiago,-33.4372,-70.6506,7171000
China,Zhumadian,33.0140,114.0220,7008427
China,Zhanjiang,21.2701,110.3575,6981236
Burma,Rangoon,16.7950,96.1600,6874000
China,Yancheng,33.3500,120.1569,6709629
China,Bijie,27.2840,105.2920,6686100
China,Xingtai,37.0717,114.5048,6645766
China,Hengyang,26.8940,112.5720,6645243
China,Shaoyang,27.2395,111.4679,6563520
Indonesia,Surabaya,-7.2458,112.7378,6556000
India,Sūrat,21.2050,72.8400,6538000
China,Quanzhou,24.8744,118.6757,6480000
China,Shangrao,28.4551,117.9431,6435300
China,Zunyi,27.7220,107.0310,6270700
Spain,Madrid,40.4169,-3.7033,6211000
Iraq,Baghdad,33.3153,44.3661,6183000
China,Maoming,21.6627,110.9255,6174050
United States,Miami,25.7840,-80.2101,6113982
China,Xinyang,32.1490,114.0910,6109106
United States,Houston,29.7860,-95.3885,6046392
Singapore,Singapore,1.3000,103.8000,5983000
India,Prayagraj,25.4358,81.8464,5954391
China,Huanggang,30.4537,114.8724,5882719
China,Dalian,38.9000,121.6000,5871474
Turkey,Ankara,39.9300,32.8500,5864049
United States,Dallas,32.7935,-96.7667,5843632
China,Qingdao,36.0669,120.3827,5818255
China,Yulin,22.6540,110.1810,5796766
China,Liaocheng,36.4559,115.9852,5789863
Cameroon,Douala,4.0500,9.7000,5768400
China,Qujing,25.4910,103.7960,5765775
China,Nangandao,35.3036,113.9268,5708191
Ethiopia,Addis Ababa,9.0300,38.7400,5704000
United States,Philadelphia,40.0077,-75.1339,5696588
Canada,Toronto,43.7417,-79.3733,5647656
China,Zhengzhou,34.7640,113.6840,5621593
China,Nanchong,30.8372,106.1106,5607565
China,Jinan,36.6702,117.0207,5606374
Egypt,Giza,29.9870,31.2118,5598402
Russia,Saint Petersburg,59.9375,30.3086,5597763
China,Jieyang,23.5510,116.3727,5577814
China,Dezhou,37.4360,116.3590,5568235
Kenya,Nairobi,-1.2864,36.8172,5545000
Mexico,Guadalajara,20.6767,-103.3475,5525000
China,Tai’an,36.2020,117.0870,5472217
China,Dazhou,31.2093,107.4678,5385422
Brazil,Belo Horizonte,-19.9281,-43.9419,5328000
China,Suzhou,33.6480,116.9640,5324476
Mexico,Monterrey,25.6844,-100.3181,5324281
China,Yongzhou,26.4200,111.6130,5289824
China,Changde,29.0310,111.6990,5279102
China,Xiangyang,32.0100,112.1220,5260951
United States,Atlanta,33.7628,-84.4220,5211164
China,Pudong,31.2347,121.5064,5187200
United States,Washington,38.9047,-77.0163,5146120
China,Zhaotong,27.3380,103.7170,5092611
China,Zhangzhou,24.5130,117.6470,5054328
China,Yueyang,29.3647,113.1309,5051922
Australia,Melbourne,-37.8142,144.9631,5031195
China,Yichun,27.8160,114.4170,5007702
Côte d’Ivoire,Abidjan,5.3364,-4.0267,4980000
China,Guilin,25.2750,110.2960,4931137
China,Pingdingshan,33.7666,113.1926,4904701
Egypt,Alexandria,31.1975,29.8925,4870000
China,Bozhou,33.8463,115.7786,4850657
Australia,Sydney,-33.8667,151.2000,4840600
Spain,Barcelona,41.3833,2.1833,4800000
